Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;188,470;K;V;2024,094
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;171,090;K;V;1837,440
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;205,520;K;V;2207,204
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;152,650;K;V;1639,401
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;88,740;K;V;953,033
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;89,740;K;V;963,772
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;99,000;K;V;1063,221
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;98,000;K;V;1052,482
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;99,000;K;V;1063,221
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;96,000;K;V;1031,002
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;97,000;K;V;1041,742
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;136,000;K;V;1460,587
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;27,000;K;V;289,969
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;24,000;K;V;257,751
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;29,000;K;V;311,449
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;38,000;K;V;408,105
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;37,000;K;V;397,366
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;26,000;K;V;279,230
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;357,170;K;V;3835,866
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;383,550;K;V;4119,177
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;388,500;K;V;4172,338
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;352,560;K;V;3786,356
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;488,390;K;V;5245,117
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;347,170;K;V;3728,470
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;176,000;K;V;1890,171
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;171,000;K;V;1836,473
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;172,000;K;V;1847,213
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;172,000;K;V;1847,213
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;174,000;K;V;1868,692
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;171,000;K;V;1836,473
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;5,000;K;V;53,698
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;2,000;K;V;21,479
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;236,000;K;V;2534,548
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;247,000;K;V;2652,683
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;296,000;K;V;3178,924
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;258,000;K;V;2770,819
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;259,000;K;V;2781,559
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;305,000;K;V;3275,581
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;126,000;K;V;1353,191
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;143,000;K;V;1535,764
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;162,000;K;V;1739,817
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;152,000;K;V;1632,420
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;160,000;K;V;1718,337
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;154,000;K;V;1653,900
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;1,680;K;V;18,043
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;2,370;K;V;25,453
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;0,300;K;V;3,222
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;2,760;K;V;29,641
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;0,980;K;V;10,525
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;1,080;K;V;11,599
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;1,000;K;V;10,740
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060006032000D;921937;1,477;K;V;15,862
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,591;K;V;6,347
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060006032000D;921937;1,280;K;V;13,747
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060006032000D;921937;1,280;K;V;13,747
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,591;K;V;6,347
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;3,810;K;V;40,918
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;3,790;K;V;40,703
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;3,790;K;V;40,703
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;1,850;K;V;19,868
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;5,540;K;V;59,497
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;1,830;K;V;19,653
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,394;K;V;4,231
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,295;K;V;3,168
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,295;K;V;3,168
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,394;K;V;4,231
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,295;K;V;3,168
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;6,000;K;V;64,438
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;4,000;K;V;42,958
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;2,000;K;V;21,479
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;1,000;K;V;10,740
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;1,000;K;V;10,740
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;0,000;K;V;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060743799000X;833694;57,557;K;V;618,140
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060743799000X;833694;56,735;K;V;609,312
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060743799000X;833694;57,694;K;V;619,611
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060743799000X;833694;54,405;K;V;584,288
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060743799000X;833694;73,316;K;V;787,385
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060743799000X;833694;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,584;K;V;6,272
2022.07.20 07:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,487;K;V;5,230
2022.07.20 08:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,779;K;V;8,366
2022.07.20 09:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,779;K;V;8,366
2022.07.20 10:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,682;K;V;7,324
2022.07.20 11:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0608021470001;921888;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N0608021470001;921888;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N0608021470001;921888;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N0608021470001;921888;3,603;K;V;38,695
2022.07.20 10:00:00;39X60FOGAZ00000V;39N0608021470001;921888;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N0608021470001;921888;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;V;0,000
2022.07.20 07:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;V;0,000
2022.07.20 08:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;V;0,000
2022.07.20 09:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;V;0,000
2022.07.20 10:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;V;0,000
2022.07.20 11:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;0,000;K;P;0,000
2022.07.20 06:00:00;39X60FOGAZ00000V;39N0610133910002;323119;2,535;K;V;27,266
