Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.09 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;287,54;K;V;3088,14
2023.10.09 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;260,34;K;V;2796,04
2023.10.09 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;270,27;K;V;2902,6
2023.10.09 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;291,91;K;V;3135,01
2023.10.09 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;282,24;K;V;3031,18
2023.10.09 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;237,57;K;V;2551,47
2023.10.09 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;264,07;K;V;2836,05
2023.10.09 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;284,4;K;V;3054,43
2023.10.09 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;283,99;K;V;3050,04
2023.10.09 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;277,61;K;V;2981,46
2023.10.09 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;247,7;K;V;2660,22
2023.10.09 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;246,66;K;V;2649,08
2023.10.09 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;246,82;K;V;2650,85
2023.10.09 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;246,62;K;V;2648,68
2023.10.09 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;210,71;K;V;2262,96
2023.10.09 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;210,57;K;V;2261,48
2023.10.09 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,96;K;V;2330,16
2023.10.09 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;223,7;K;V;2402,49
2023.10.09 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,8;K;V;2328,35
2023.10.09 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;237,9;K;V;2555,03
2023.10.09 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,96;K;V;214,41
2023.10.09 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,85;K;V;202,46
2023.10.09 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,85;K;V;202,44
2023.10.09 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,81;K;V;202,04
2023.10.09 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,85;K;V;213,19
2023.10.09 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,59;K;V;188,86
2023.10.09 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,72;K;V;211,77
2023.10.09 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,63;K;V;210,82
2023.10.09 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,56;K;V;210,03
2023.10.09 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,46;K;V;198,21
