Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.01.06 06:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1551,680;K;V;16385,33500
2023.01.06 07:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1634,310;K;V;17257,88600
2023.01.06 08:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1780,540;K;V;18802,03700
2023.01.06 09:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1595,640;K;V;16849,54100
2023.01.06 10:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1739,230;K;V;18365,81400
2023.01.06 11:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1388,510;K;V;14662,30200
2023.01.06 12:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1592,519;K;V;16816,58400
2023.01.06 13:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1800,870;K;V;19016,71600
2023.01.06 14:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1408,850;K;V;14877,08700
2023.01.06 15:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1346,570;K;V;14219,42700
2023.01.06 16:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1368,130;K;V;14447,09500
2023.01.06 17:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1244,710;K;V;13143,81200
2023.01.06 18:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1245,090;K;V;13147,82500
2023.01.06 19:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1389,340;K;V;14671,06700
2023.01.06 20:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1245,420;K;V;13151,30900
2023.01.06 21:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1348,280;K;V;14237,48400
